
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 102, Time: 0.622559, Systemstep: 0.00610352

Begin Step 103, Time: 0.628662, Systemstep: 0.00610352

Begin Step 104, Time: 0.634766, Systemstep: 0.00610352

Begin Step 105, Time: 0.640869, Systemstep: 0.00451207

Begin Step 106, Time: 0.646973, Systemstep: 0.00610352

Begin Step 107, Time: 0.653076, Systemstep: 0.00610352

Begin Step 108, Time: 0.65918, Systemstep: 0.00610352

Begin Step 109, Time: 0.665283, Systemstep: 0.00610352

Begin Step 110, Time: 0.671387, Systemstep: 0.00610352

Begin Step 111, Time: 0.67749, Systemstep: 0.00610352

Begin Step 112, Time: 0.683594, Systemstep: 0.0048127

Begin Step 113, Time: 0.689697, Systemstep: 0.00610352

Begin Step 114, Time: 0.695801, Systemstep: 0.00610352

Begin Step 115, Time: 0.701904, Systemstep: 0.00610352

Begin Step 116, Time: 0.708008, Systemstep: 0.00610352

Begin Step 117, Time: 0.714111, Systemstep: 0.00610352

Begin Step 118, Time: 0.720215, Systemstep: 0.00610352

Begin Step 119, Time: 0.726318, Systemstep: 0.00511371

Begin Step 120, Time: 0.732422, Systemstep: 0.00610352

Begin Step 121, Time: 0.738525, Systemstep: 0.00610352

Begin Step 122, Time: 0.744629, Systemstep: 0.00610352

Begin Step 123, Time: 0.750732, Systemstep: 0.00610352

Begin Step 124, Time: 0.756836, Systemstep: 0.00610352

Begin Step 125, Time: 0.762939, Systemstep: 0.00610352

Begin Step 126, Time: 0.769043, Systemstep: 0.00541434

Begin Step 127, Time: 0.775146, Systemstep: 0.00610352

Begin Step 128, Time: 0.78125, Systemstep: 0.00610352

Begin Step 129, Time: 0.787354, Systemstep: 0.00610352

Begin Step 130, Time: 0.793457, Systemstep: 0.00610352

Begin Step 131, Time: 0.799561, Systemstep: 0.00610352

Begin Step 132, Time: 0.805664, Systemstep: 0.00610352

Begin Step 133, Time: 0.811768, Systemstep: 0.00571534

Begin Step 134, Time: 0.817871, Systemstep: 0.00610352

Begin Step 135, Time: 0.823975, Systemstep: 0.00610352

Begin Step 136, Time: 0.830078, Systemstep: 0.00610352

Begin Step 137, Time: 0.836182, Systemstep: 0.00610352

Begin Step 138, Time: 0.842285, Systemstep: 0.00610352

Begin Step 139, Time: 0.848389, Systemstep: 0.00610352

Begin Step 140, Time: 0.854492, Systemstep: 0.00601597

Begin Step 141, Time: 0.860596, Systemstep: 0.00610352

Begin Step 142, Time: 0.866699, Systemstep: 0.00610352

Begin Step 143, Time: 0.872803, Systemstep: 0.00610352

Begin Step 144, Time: 0.878906, Systemstep: 0.00610352

Begin Step 145, Time: 0.88501, Systemstep: 0.00610352

Begin Step 146, Time: 0.891113, Systemstep: 0.000213459

Begin Step 147, Time: 0.897217, Systemstep: 0.00610352

Begin Step 148, Time: 0.90332, Systemstep: 0.00610352

Begin Step 149, Time: 0.909424, Systemstep: 0.00610352

Begin Step 150, Time: 0.915527, Systemstep: 0.00610352

Begin Step 151, Time: 0.921631, Systemstep: 0.00610352

Begin Step 152, Time: 0.927734, Systemstep: 0.00610352

Begin Step 153, Time: 0.933838, Systemstep: 0.00051409

Begin Step 154, Time: 0.939941, Systemstep: 0.00610352

Begin Step 155, Time: 0.946045, Systemstep: 0.00610352

Begin Step 156, Time: 0.952148, Systemstep: 0.00610352

Begin Step 157, Time: 0.958252, Systemstep: 0.00610352

Begin Step 158, Time: 0.964355, Systemstep: 0.00610352

Begin Step 159, Time: 0.970459, Systemstep: 0.00610352

Begin Step 160, Time: 0.976562, Systemstep: 0.000814721

Begin Step 161, Time: 0.982666, Systemstep: 0.00610352

Begin Step 162, Time: 0.98877, Systemstep: 0.00610352

Begin Step 163, Time: 0.994873, Systemstep: 0.00610352

Begin Step 164, Time: 1.00098, Systemstep: 0.00610352

Begin Step 165, Time: 1.00708, Systemstep: 0.00610352

Begin Step 166, Time: 1.01318, Systemstep: 0.00610352

Begin Step 167, Time: 1.01929, Systemstep: 0.00111572

Begin Step 168, Time: 1.02539, Systemstep: 0.00610352

Begin Step 169, Time: 1.03149, Systemstep: 0.00610352

Begin Step 170, Time: 1.0376, Systemstep: 0.00610352

Begin Step 171, Time: 1.0437, Systemstep: 0.00610352

Begin Step 172, Time: 1.0498, Systemstep: 0.00610352

Begin Step 173, Time: 1.05591, Systemstep: 0.00610352

Begin Step 174, Time: 1.06201, Systemstep: 0.00141636

Begin Step 175, Time: 1.06812, Systemstep: 0.00610352

Begin Step 176, Time: 1.07422, Systemstep: 0.00610352

Begin Step 177, Time: 1.08032, Systemstep: 0.00610352

Begin Step 178, Time: 1.08643, Systemstep: 0.00610352

Begin Step 179, Time: 1.09253, Systemstep: 0.00610352

Begin Step 180, Time: 1.09863, Systemstep: 0.00610352

Begin Step 181, Time: 1.10474, Systemstep: 0.00171736

Begin Step 182, Time: 1.11084, Systemstep: 0.00610352

Begin Step 183, Time: 1.11694, Systemstep: 0.00610352

Begin Step 184, Time: 1.12305, Systemstep: 0.00610352

Begin Step 185, Time: 1.12915, Systemstep: 0.00610352

Begin Step 186, Time: 1.13525, Systemstep: 0.00610352

Begin Step 187, Time: 1.14136, Systemstep: 0.00610352

Begin Step 188, Time: 1.14746, Systemstep: 0.00201799

Begin Step 189, Time: 1.15356, Systemstep: 0.00610352

Begin Step 190, Time: 1.15967, Systemstep: 0.00610352

Begin Step 191, Time: 1.16577, Systemstep: 0.00610352

Begin Step 192, Time: 1.17188, Systemstep: 0.00610352

Begin Step 193, Time: 1.17798, Systemstep: 0.00610352

Begin Step 194, Time: 1.18408, Systemstep: 0.00610352

Begin Step 195, Time: 1.19019, Systemstep: 0.00231899

Begin Step 196, Time: 1.19629, Systemstep: 0.00610352

Begin Step 197, Time: 1.20239, Systemstep: 0.00610352

Begin Step 198, Time: 1.2085, Systemstep: 0.00610352

Begin Step 199, Time: 1.2146, Systemstep: 0.00610352

Begin Step 200, Time: 1.2207, Systemstep: 0.00610352

Begin Step 201, Time: 1.22681, Systemstep: 0.00610352

Begin Step 202, Time: 1.23291, Systemstep: 0.00261962

Begin Step 203, Time: 1.23901, Systemstep: 0.00610352

Begin Step 204, Time: 1.24512, Systemstep: 0.00610352

Begin Step 205, Time: 1.25122, Systemstep: 0.00610352

Begin Step 206, Time: 1.25732, Systemstep: 0.00610352

Begin Step 207, Time: 1.26343, Systemstep: 0.00610352

Begin Step 208, Time: 1.26953, Systemstep: 0.00610352

Begin Step 209, Time: 1.27563, Systemstep: 0.00292063

Begin Step 210, Time: 1.28174, Systemstep: 0.00610352

Begin Step 211, Time: 1.28784, Systemstep: 0.00610352

Begin Step 212, Time: 1.29395, Systemstep: 0.00610352

Begin Step 213, Time: 1.30005, Systemstep: 0.00610352

Begin Step 214, Time: 1.30615, Systemstep: 0.00610352

Begin Step 215, Time: 1.31226, Systemstep: 0.00610352

Begin Step 216, Time: 1.31836, Systemstep: 0.00322126

Begin Step 217, Time: 1.32446, Systemstep: 0.00610352

Begin Step 218, Time: 1.33057, Systemstep: 0.00610352

Begin Step 219, Time: 1.33667, Systemstep: 0.00610352

Begin Step 220, Time: 1.34277, Systemstep: 0.00610352

Begin Step 221, Time: 1.34888, Systemstep: 0.00610352

Begin Step 222, Time: 1.35498, Systemstep: 0.00610352

Begin Step 223, Time: 1.36108, Systemstep: 0.00352189

Begin Step 224, Time: 1.36719, Systemstep: 0.00610352

Begin Step 225, Time: 1.37329, Systemstep: 0.00610352

Begin Step 226, Time: 1.37939, Systemstep: 0.00610352

Begin Step 227, Time: 1.3855, Systemstep: 0.00610352

Begin Step 228, Time: 1.3916, Systemstep: 0.00610352

Begin Step 229, Time: 1.39771, Systemstep: 0.00610352

Begin Step 230, Time: 1.40381, Systemstep: 0.00382289

Begin Step 231, Time: 1.40991, Systemstep: 0.00610352

Begin Step 232, Time: 1.41602, Systemstep: 0.00610352

Begin Step 233, Time: 1.42212, Systemstep: 0.00610352

Begin Step 234, Time: 1.42822, Systemstep: 0.00610352

Begin Step 235, Time: 1.43433, Systemstep: 0.00610352

Begin Step 236, Time: 1.44043, Systemstep: 0.00610352

Begin Step 237, Time: 1.44653, Systemstep: 0.00412352

Begin Step 238, Time: 1.45264, Systemstep: 0.00610352

Begin Step 239, Time: 1.45874, Systemstep: 0.00610352

Begin Step 240, Time: 1.46484, Systemstep: 0.00610352

Begin Step 241, Time: 1.47095, Systemstep: 0.00610352

Begin Step 242, Time: 1.47705, Systemstep: 0.00610352

Begin Step 243, Time: 1.48315, Systemstep: 0.00610352

Begin Step 244, Time: 1.48926, Systemstep: 0.00442453

Begin Step 245, Time: 1.49536, Systemstep: 0.00610352

Begin Step 246, Time: 1.50146, Systemstep: 0.00610352

Begin Step 247, Time: 1.50757, Systemstep: 0.00610352

Begin Step 248, Time: 1.51367, Systemstep: 0.00610352

Begin Step 249, Time: 1.51978, Systemstep: 0.00610352

Begin Step 250, Time: 1.52588, Systemstep: 0.00610352

Begin Step 251, Time: 1.53198, Systemstep: 0.00472516

Begin Step 252, Time: 1.53809, Systemstep: 0.00610352

Begin Step 253, Time: 1.54419, Systemstep: 0.00610352

Begin Step 254, Time: 1.55029, Systemstep: 0.00610352

Begin Step 255, Time: 1.5564, Systemstep: 0.00610352

Begin Step 256, Time: 1.5625, Systemstep: 0.00610352

Begin Step 257, Time: 1.5686, Systemstep: 0.00610352

Begin Step 258, Time: 1.57471, Systemstep: 0.00502616

Begin Step 259, Time: 1.58081, Systemstep: 0.00610352

Begin Step 260, Time: 1.58691, Systemstep: 0.00610352

Begin Step 261, Time: 1.59302, Systemstep: 0.00610352

Begin Step 262, Time: 1.59912, Systemstep: 0.00610352

Begin Step 263, Time: 1.60522, Systemstep: 0.00610352

Begin Step 264, Time: 1.61133, Systemstep: 0.00610352

Begin Step 265, Time: 1.61743, Systemstep: 0.00532679

Begin Step 266, Time: 1.62354, Systemstep: 0.00610352

Begin Step 267, Time: 1.62964, Systemstep: 0.00610352

Begin Step 268, Time: 1.63574, Systemstep: 0.00610352

Begin Step 269, Time: 1.64185, Systemstep: 0.00610352

Begin Step 270, Time: 1.64795, Systemstep: 0.00610352

Begin Step 271, Time: 1.65405, Systemstep: 0.00610352

Begin Step 272, Time: 1.66016, Systemstep: 0.00562742

Begin Step 273, Time: 1.66626, Systemstep: 0.00610352

Begin Step 274, Time: 1.67236, Systemstep: 0.00610352

Begin Step 275, Time: 1.67847, Systemstep: 0.00610352

Begin Step 276, Time: 1.68457, Systemstep: 0.00610352

Begin Step 277, Time: 1.69067, Systemstep: 0.00610352

Begin Step 278, Time: 1.69678, Systemstep: 0.00610352

Begin Step 279, Time: 1.70288, Systemstep: 0.00592843

Begin Step 280, Time: 1.70898, Systemstep: 0.00610352

Begin Step 281, Time: 1.71509, Systemstep: 0.00610352

Begin Step 282, Time: 1.72119, Systemstep: 0.00610352

Begin Step 283, Time: 1.72729, Systemstep: 0.00610352

Begin Step 284, Time: 1.7334, Systemstep: 0.00610352

Begin Step 285, Time: 1.7395, Systemstep: 0.000125542

Begin Step 286, Time: 1.74561, Systemstep: 0.00610352

Begin Step 287, Time: 1.75171, Systemstep: 0.00610352

Begin Step 288, Time: 1.75781, Systemstep: 0.00610352

Begin Step 289, Time: 1.76392, Systemstep: 0.00610352

Begin Step 290, Time: 1.77002, Systemstep: 0.00610352

Begin Step 291, Time: 1.77612, Systemstep: 0.00610352

Begin Step 292, Time: 1.78223, Systemstep: 0.000426546

Begin Step 293, Time: 1.78833, Systemstep: 0.00610352

Begin Step 294, Time: 1.79443, Systemstep: 0.00610352

Begin Step 295, Time: 1.80054, Systemstep: 0.00610352

Begin Step 296, Time: 1.80664, Systemstep: 0.00610352

Begin Step 297, Time: 1.81274, Systemstep: 0.00610352

Begin Step 298, Time: 1.81885, Systemstep: 0.00610352

Begin Step 299, Time: 1.82495, Systemstep: 0.000727177

Begin Step 300, Time: 1.83105, Systemstep: 0.00610352

Begin Step 301, Time: 1.83716, Systemstep: 0.00610352

Begin Step 302, Time: 1.84326, Systemstep: 0.00610352

Begin Step 303, Time: 1.84937, Systemstep: 0.00610352

Begin Step 304, Time: 1.85547, Systemstep: 0.00610352

Begin Step 305, Time: 1.86157, Systemstep: 0.00610352

Begin Step 306, Time: 1.86768, Systemstep: 0.00102818

Begin Step 307, Time: 1.87378, Systemstep: 0.00610352

Begin Step 308, Time: 1.87988, Systemstep: 0.00610352

Begin Step 309, Time: 1.88599, Systemstep: 0.00610352

Begin Step 310, Time: 1.89209, Systemstep: 0.00610352

Begin Step 311, Time: 1.89819, Systemstep: 0.00610352

Begin Step 312, Time: 1.9043, Systemstep: 0.00610352

Begin Step 313, Time: 1.9104, Systemstep: 0.00132881

Begin Step 314, Time: 1.9165, Systemstep: 0.00610352

Begin Step 315, Time: 1.92261, Systemstep: 0.00610352

Begin Step 316, Time: 1.92871, Systemstep: 0.00610352

Begin Step 317, Time: 1.93481, Systemstep: 0.00610352

Begin Step 318, Time: 1.94092, Systemstep: 0.00610352

Begin Step 319, Time: 1.94702, Systemstep: 0.00610352

Begin Step 320, Time: 1.95312, Systemstep: 0.00162944

Begin Step 321, Time: 1.95923, Systemstep: 0.00610352

Begin Step 322, Time: 1.96533, Systemstep: 0.00610352

Begin Step 323, Time: 1.97144, Systemstep: 0.00610352

Begin Step 324, Time: 1.97754, Systemstep: 0.00610352

Begin Step 325, Time: 1.98364, Systemstep: 0.00610352

Begin Step 326, Time: 1.98975, Systemstep: 0.00610352

Begin Step 327, Time: 1.99585, Systemstep: 0.00193045

Begin Step 328, Time: 2.00195, Systemstep: 0.00610352

Begin Step 329, Time: 2.00806, Systemstep: 0.00610352

Begin Step 330, Time: 2.01416, Systemstep: 0.00610352

Begin Step 331, Time: 2.02026, Systemstep: 0.00610352

Begin Step 332, Time: 2.02637, Systemstep: 0.00610352

Begin Step 333, Time: 2.03247, Systemstep: 0.00610352

Begin Step 334, Time: 2.03857, Systemstep: 0.00223108

Begin Step 335, Time: 2.04468, Systemstep: 0.00610352

