#    0.7300000         5.809795       10
      0.000000         1.000000        0.6671416    
      4.350000        0.9985568         1.157776    
      8.700000        0.9724016         1.074567    
      13.05000        0.9674667         1.097198    
      17.40000        0.9693587         1.129991    
      21.75000        0.9748789         1.186046    
      26.10000        0.9819578         1.254258    
      30.45000        0.9876227         1.333284    
      34.80000        0.9919457         1.415601    
      39.15000        0.9928331         1.516519    
      43.50000        0.9102357         1.677656    
